# shortcut;full_name_en;full_name_jp;sex;role;decks
dm
Antinomy;Bruno/Antinomy;Bruno/Antinomy;M;villain;T.G.
Aporia;Aporia;Aporia;M;villain;Meklord
Z-one;Z-ONE;Z-ONE;M;villain;Timelord
Goodwin;Rex Goodwin;Rex Goodwin;M;villain;Earthbound Immortal
Carly Carmine;Carly Carmine;Carly Nagisa;F;side;Fortune Ladies
Team Raganrok;Team Ragnarok;Team Ragnarok;M;side;Nordics
Team Unicorn;Team Unicorn;Team Unicorn;M;side;Unicorn
Team Taiyo;Team Taiyo;Team Taiyo;M;side;Zushin the Sleeping Giant
zexal
Yuma;Yuma Tsukumo;Yuma Tsukumo;M;main;Syllables/Numbers
Astral;Astral;Astral;M;main;Astral/Syllables/Numbers
Kite;Kite Tenjo;Kaito Tenjo;M;main;Galaxy/Photon
Shark;Reginald Kastle;Ryoga Kamishiro;M;villain;Fish
Quattro;Thomas Arclight;IV;M;villain;Gimmick Puppet
Rio;Rio Kastle;Rio Kamishiro;F;side;WATER Winged Beast
Alito;Alito;Alito;M;villain;Battlin' Boxer
Mizar;Mizar;Mizael;M;villain;Galaxy Dragon
Girag;Girag;Kiraku Souhachi;M;villain;Hand
Trey;Michael Arclight;III;M;side;Chronomaly
Vetrix;Byron Arclight;Tron;M;villain;Heraldic
Quinton;Christopher Arclight;V;M;side;Space
Vector;Vector;Vector;M;villain;Shining/Umbral
Nistro;Nistro;Gauche;M;side;Bounzer/Heroic
Anna;Anna Kaboom;Anna Kozuki;F;side;Rank 10 Trains
Dextra;Dextra;Droite;F;side;Butterspy
Kaze;Kaze;Yamikawa;M;side;Armor Ninja
Roku;Roku;Rokujuro Misawa;M;side;Statue/Arcana Knight Joker
arcv
Yuya;Yuya Sasaki;Yuya Sasaki;M;main;Performapal/Odd-Eyes/Pendulum Magician
Zuzu;Zuzu Boyle;Yuzu Hiiragi;F;main;Melodious
Dennis;Dennis McField;Dennis Mackfield;M;side;Performage
Gong;Gong Strong;Noboru Gongenzaka;M;main;Superheavy Samurai
Shay;Shay Obsidian;Shun Kurosaki;M;side;Raidraptor
Declan;Declan Akaba;Reiji Akaba;M;villain;D/D
Sora;Sora Perse;Sora Shiunin;M;villain;Frightfur
Sylvio;Sylvio Sawatari;Shingo Sawatari;M;side;Yosenju/Abyss Actor
Yuri;Yuri;Joeri;M;villain;Predaplant
Yugo;Yugo;Hugo;M;villain;Speedroid
Yuto;Yuto;Ute;M;main;Phantom Knight
Celina;Celina;Serena;F;villain;Lunalight
Lulu;Lulu Obsidian;Ruri Kurosaki;F;side;Lyrilusc
Rin;Rin;Rin;F;side;Windwitch
vrains
Playmaker;Yusaku Fujiki;Yusaku Fujiki;M;main;Cyberse
Soulburner;Homura Takeru;Homura Takeru;M;main;Salamangreat
Blueangel;Skye Zaizen;Aoi Zaizen;F;main;Trickstar
Ghostgirl;Emma Bessho;Emma Bessho;F;main;Altergeist
Revolver;Varis;Ryoken Kogami;M;villain;Rokket
Go;Gore Onizuka;Go Onizuka;M;villain;Gouki/Dinowrestler
Spectre;Spectre;Spectre;M;villain;Sun Plants
Zaizen;Akira Zaizen;Akira Zaizen;M;villain;Tindangle
Bravemax;Naoki Shima;Naoki Shima;M;side;Baboon
Bloodshepard;TBA;Kengo Dojun;M;villain;Battledrone
Bohman;TBA;Bohman;M;villain;Hydradrive
